model,variable,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV
model_a,total_rev_hi_lim,"[55182.50, 70700.50)",42524,0.0512735800712602,36191,6333,0.14892766437776314,0.2572771012442019,0.0031232013801815945
model_a,total_rev_hi_lim,"[70700.50, inf)",54833,0.06611523412772577,48065,6768,0.12342932175879488,0.47458932885593086,0.012745130782801223
model_a,total_rev_hi_lim,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,total_rev_hi_lim,Missing,70276,0.08473572836722514,59197,11079,0.15764983778245772,0.19006013003376676,0.0028795936797270287
model_a,total_rev_hi_lim,,829355,1.0,676290,153065,0.18455908507213437,,0.028157658924712812
model_a,num_tl_90g_dpd_24m,"(-inf, 0.50)",714796,0.861869766264145,581903,132893,0.18591738062328272,-0.008999836334272482,7.000718406353268e-05
model_a,num_tl_90g_dpd_24m,"[0.50, inf)",44283,0.05339450536862984,35190,9093,0.20533839170787888,-0.13250224576820857,0.0009768388680899726
model_a,num_tl_90g_dpd_24m,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,num_tl_90g_dpd_24m,Missing,70276,0.08473572836722514,59197,11079,0.15764983778245772,0.19006013003376676,0.0028795936797270287
model_a,num_tl_90g_dpd_24m,,829355,1.0,676290,153065,0.18455908507213437,,0.003926439731880534
model_a,mo_sin_old_rev_tl_op,"(-inf, 62.50)",41559,0.05011002526059408,31324,10235,0.24627637816116846,-0.36718795258248815,0.0075455688799713
model_a,mo_sin_old_rev_tl_op,"[62.50, 93.50)",63413,0.07646062301427013,49946,13467,0.21236970337312538,-0.17505913701792974,0.0024734625146789714
model_a,mo_sin_old_rev_tl_op,"[93.50, 122.50)",101715,0.12264350006933099,80712,21003,0.20648871847810057,-0.13953733191501838,0.002493666640309642
model_a,mo_sin_old_rev_tl_op,"[122.50, 133.50)",43989,0.05304001302216783,35225,8764,0.19923162608834027,-0.09465567430640265,0.0004894718057085514
model_a,mo_sin_old_rev_tl_op,"[133.50, 144.50)",43522,0.05247692483918225,35084,8438,0.1938789577684849,-0.06075943797093819,0.00019745320090710329
